No,Name,Status,Priority,Labels,Assignee Email,Start Date,Duration ,Due Date,Notes,Blocked By (Dependencies),Blocking (Dependencies)
6.20.4.6,Turkish Live Casino Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.4.7,Roulette Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.4.8,Blackjack Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.4.9,Show Time Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.2.4.10,Baccarat Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.2.4.11,Promotions,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.5,Crash Games Page,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.5.1,Game Categories,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.5.2,Providers list,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.5.3,Popular Crash Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.5.4,Plane Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.5.5,Plinko Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.5.6,Mine Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.5.7,Sports Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.5.8,Crash Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.6,Sports / In-Play / E-Sports Pages,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.6.1,Unified structure for navigation and content,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,The operator may choose to activate/deactivate these pages depending on business needs,,
6.20.7,Footer Section,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.7.1,Link sections,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.7.2,Shortcuts to main pages,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.7.3,"Terms & Conditions, Privacy Policy, About Us, etc.",Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.7.4,License Information,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.7.5,Help & FAQ,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.7.6,Contact & Social links,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.7.7,Payment Methods,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.7.8,Providers list,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.7.9,Company Logo,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.2.7.10,License content & license logo,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.8,Design & Branding,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.8.1,The color scheme will be provided by the operator,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,"Branding elements such as logos, typography, and visual identity can be fully customized",,
6.20.9,Areas for Operator Contribution,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,"Final decision on color scheme and branding assets
- Choice of which optional pages (Sports, In-play, E-Sports) to activate
- Content for banners, icons, promotional campaigns.
- Customization of footer elements (links, social channels, license details, documents)",,
6.3,Configurator Changes,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,"The color scheme will be provided by the operator 
https://docs.google.com/document/d/1ZZnj8TXLNThmA2MQkcEIWGrNdN2WA1-d/edit

Custom CSS
https://docs.google.com/document/d/1iTa7MPuFUFyNn3-WgMuhJqNM-bE_WK1iVlrC49V56EE/edit?pli=1&tab=t.l65ykfqrg1rp",Finalize all the asset required from the operator ,
6.30.1,Custom CSS Code Check (Add if missing),Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.4,Create Email Template & inform CRM Team to test it,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,"Email template either taken from slotclover or any other BU but making sure all necessary changes are done as per the BU we are using it for. Or email template can be provided by the operator as well if needed. 
BO: IPES: Marketing Messages: Email Template.",Finalize all the asset required from the operator ,
6.5,CMS: Go-live Check list ,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,Check list : https://docs.google.com/spreadsheets/d/1VbY16Z4pQ-cYchkyjrZxDaOUHLxAWTiqxlXZb-uBb-o/edit?gid=0#gid=0,,
6.6,Games Positioning ,Backlog,High,CMS,ozkan.g@veritas-technology.io,12-01-25,11,12-12-25,"Check and Fix all games positioning in all site
Games from top 10 Providers https://docs.google.com/spreadsheets/d/17XyamaoTxstZik7Y6gsb0feZr-Ks8Nbd/edit?gid=1361097208#gid=1361097208",,
7.0,Phase 3: Testing,,High,,,12-15-25,,12-15-25,,,
7.1,Domain Redirection and BO access ,Backlog,High,Testing,remzi@veritas-technology.io,12-15-25,4,12-19-25,,,
7.2,CRM testing ,Backlog,High,Testing,simeone.m@veritas-technology.io,10-13-25,11,10-24-25,,,
7.3,CMS Testing ,Backlog,High,Testing,muteeb.m@veritas-technology.io,10-13-25,11,10-24-25,Final Check of the whole site (looking for anything we might have missed),,
7.30.1,Check all pages are loading properly,Backlog,High,Testing,muteeb.m@veritas-technology.io,10-13-25,11,10-24-25,,,
7.30.2,Check all visuals are showing properly,Backlog,High,Testing,muteeb.m@veritas-technology.io,10-13-25,11,10-24-25,,,
7.30.3,All website elements are working as needed,Backlog,High,Testing,muteeb.m@veritas-technology.io,10-13-25,11,10-24-25,,,
7.30.4,License is appearing all times before log in and after + Live chat is working,Backlog,High,Testing,muteeb.m@veritas-technology.io,10-13-25,11,10-24-25,,,
7.4,Games Testing ,Backlog,High,Testing,ozkan.g@veritas-technology.io,10-13-25,11,10-24-25,All top games from top providers need to be tested (especially from turkiye),"Hub88,EGTD Games ",
7.40.1,Top 10 providers games test (Demo & Play),Backlog,High,Testing,ozkan.g@veritas-technology.io,10-13-25,11,10-24-25,,,
7.5,Payments Testing ,Backlog,High,Testing,remzi@veritas-technology.io,10-13-25,11,10-24-25,,"Mpay ,Aninda ,Cryptobox ",
7.6,Sports Testing ,Backlog,High,Testing,remzi@veritas-technology.io,10-13-25,11,10-24-25,,,
8,Phase 4: Training,,Medium,,,12-01-25,,12-01-25,,,
8.1,Basic Training ,Backlog,Medium,Training,haya.a@nexus-solutions.io,12-01-25,10,12-11-25,the Basic Training agenda is found in the training folder of each project folder created in the drive ,Finalize all the asset required from the operator ,
8.10.1,Confirm the availability of the operator for 3 days ,Backlog,Medium,Training,haya.a@nexus-solutions.io,12-01-25,10,12-11-25,,,
8.10.2,Send the training agenda to operator (update with meeting links ),Backlog,Medium,Training,haya.a@nexus-solutions.io,12-01-25,10,12-11-25,,,
8.2,Advanced Training ,Backlog,Medium,Training,"haya.a@nexus-solutions.io
haya.a@nexus-solutions.io",01-15-26,10,01-25-26,the adavnaced Training agenda is found in the training folder of each project folder created in the drive ,,
8.20.1,Confirm the availability of the operator for 3 days ,Backlog,Medium,Training,haya.a@nexus-solutions.io,01-15-26,10,01-25-26,,,
8.20.2,Send the training agenda to operator (update with meeting links ),Backlog,Medium,Training,haya.a@nexus-solutions.io,01-15-26,10,01-25-26,,,
9.0,Phase 5: Go-live & Hypercare,,Low,,,12-29-25,,12-29-25,,,
9.1,Go-Live Readiness Test  ,Backlog,Low,Go-live & Hypercare,alparslan@veritas-technology.io,12-29-25,1,12-30-25,,,
9.2,Bi-weekly call with operator Scheduled ,Backlog,Low,Go-live & Hypercare,remzi@veritas-technology.io,12-29-25,14,01-12-26
